country_code,country_name,year,indicator_code,indicator_label,value
AUS,Australia,1990,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",36267.7410592234
AUS,Australia,1991,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",35670.6678637309
AUS,Australia,1992,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",35426.2848289008
AUS,Australia,1993,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",36533.1468283451
AUS,Australia,1994,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",37622.6524772939
AUS,Australia,1995,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",38653.3366778657
AUS,Australia,1996,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",39663.1617728168
AUS,Australia,1997,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",40773.5660516518
AUS,Australia,1998,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",42257.1718122395
AUS,Australia,1999,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",43899.073794405
AUS,Australia,2000,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",45099.0752097084
AUS,Australia,2001,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",45428.2000837579
AUS,Australia,2002,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",46688.3947760633
AUS,Australia,2003,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",47581.2285345879
AUS,Australia,2004,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",49061.2761503925
AUS,Australia,2005,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",49997.0664953941
AUS,Australia,2006,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",50693.7248649798
AUS,Australia,2007,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",51663.2403953881
AUS,Australia,2008,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",52473.3819160773
AUS,Australia,2009,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",52407.9115378584
AUS,Australia,2010,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",52739.2681556133
AUS,Australia,2011,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",53257.0473237603
AUS,Australia,2012,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",54403.8836902433
AUS,Australia,2013,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",54895.0052588984
AUS,Australia,2014,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",55489.068844146
AUS,Australia,2015,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",55879.9958817103
AUS,Australia,2016,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",56529.951824687
AUS,Australia,2017,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",56881.8569859104
AUS,Australia,2018,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",57647.8455068105
AUS,Australia,2019,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",58048.6188420831
AUS,Australia,2020,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",57260.4650530108
AUS,Australia,2021,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",58327.4146842325
AUS,Australia,2022,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",60029.1329190733
AUS,Australia,2023,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",60684.9596204883
AUS,Australia,1971,SE.SEC.CUAT.UP.FE.ZS,"Educational attainment, upper secondary+, female (% ages 25+)",10.0
AUS,Australia,2001,SE.SEC.CUAT.UP.FE.ZS,"Educational attainment, upper secondary+, female (% ages 25+)",50.93006376897
AUS,Australia,2002,SE.SEC.CUAT.UP.FE.ZS,"Educational attainment, upper secondary+, female (% ages 25+)",52.0396874807539
AUS,Australia,2003,SE.SEC.CUAT.UP.FE.ZS,"Educational attainment, upper secondary+, female (% ages 25+)",53.9166741010793
AUS,Australia,2004,SE.SEC.CUAT.UP.FE.ZS,"Educational attainment, upper secondary+, female (% ages 25+)",58.6276817321777
AUS,Australia,2005,SE.SEC.CUAT.UP.FE.ZS,"Educational attainment, upper secondary+, female (% ages 25+)",60.2878189086914
AUS,Australia,2006,SE.SEC.CUAT.UP.FE.ZS,"Educational attainment, upper secondary+, female (% ages 25+)",62.5840187072754
AUS,Australia,2007,SE.SEC.CUAT.UP.FE.ZS,"Educational attainment, upper secondary+, female (% ages 25+)",64.1781692504883
AUS,Australia,2008,SE.SEC.CUAT.UP.FE.ZS,"Educational attainment, upper secondary+, female (% ages 25+)",67.1775436401367
AUS,Australia,2009,SE.SEC.CUAT.UP.FE.ZS,"Educational attainment, upper secondary+, female (% ages 25+)",68.2333297729492
AUS,Australia,2010,SE.SEC.CUAT.UP.FE.ZS,"Educational attainment, upper secondary+, female (% ages 25+)",70.6021575927734
AUS,Australia,2011,SE.SEC.CUAT.UP.FE.ZS,"Educational attainment, upper secondary+, female (% ages 25+)",72.6381225585938
AUS,Australia,2012,SE.SEC.CUAT.UP.FE.ZS,"Educational attainment, upper secondary+, female (% ages 25+)",75.0021133422852
AUS,Australia,2013,SE.SEC.CUAT.UP.FE.ZS,"Educational attainment, upper secondary+, female (% ages 25+)",70.1196823120117
AUS,Australia,2014,SE.SEC.CUAT.UP.FE.ZS,"Educational attainment, upper secondary+, female (% ages 25+)",70.9758834838867
AUS,Australia,2015,SE.SEC.CUAT.UP.FE.ZS,"Educational attainment, upper secondary+, female (% ages 25+)",73.3811569213867
AUS,Australia,2016,SE.SEC.CUAT.UP.FE.ZS,"Educational attainment, upper secondary+, female (% ages 25+)",74.5720672607422
AUS,Australia,2017,SE.SEC.CUAT.UP.FE.ZS,"Educational attainment, upper secondary+, female (% ages 25+)",75.5375595092773
AUS,Australia,2018,SE.SEC.CUAT.UP.FE.ZS,"Educational attainment, upper secondary+, female (% ages 25+)",76.8862609863281
AUS,Australia,2019,SE.SEC.CUAT.UP.FE.ZS,"Educational attainment, upper secondary+, female (% ages 25+)",77.8000411987305
