country_code,country_name,year,indicator_code,indicator_label,value
GBR,United Kingdom,1990,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",32993.1694419805
GBR,United Kingdom,1991,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",32466.1961615901
GBR,United Kingdom,1992,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",32797.7299280942
GBR,United Kingdom,1993,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",33861.2523742725
GBR,United Kingdom,1994,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",35448.1781034952
GBR,United Kingdom,1995,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",36603.7383816545
GBR,United Kingdom,1996,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",37465.3771277415
GBR,United Kingdom,1997,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",39192.610054674
GBR,United Kingdom,1998,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",40347.1799533754
GBR,United Kingdom,1999,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",41396.9358449656
GBR,United Kingdom,2000,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",43115.5630082237
GBR,United Kingdom,2001,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",43976.8391685783
GBR,United Kingdom,2002,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",44539.4636492853
GBR,United Kingdom,2003,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",45759.4020280715
GBR,United Kingdom,2004,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",46558.1299600699
GBR,United Kingdom,2005,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",47529.9377511933
GBR,United Kingdom,2006,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",48215.0486668938
GBR,United Kingdom,2007,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",49243.2517368789
GBR,United Kingdom,2008,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",48833.0712359377
GBR,United Kingdom,2009,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",46241.8039957358
GBR,United Kingdom,2010,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",46917.8912974837
GBR,United Kingdom,2011,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",46949.0207981339
GBR,United Kingdom,2012,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",47328.2100308702
GBR,United Kingdom,2013,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",47820.2821627006
GBR,United Kingdom,2014,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",48964.2863514962
GBR,United Kingdom,2015,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",49652.7188154397
GBR,United Kingdom,2016,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",50346.8592925717
GBR,United Kingdom,2017,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",51586.6756125445
GBR,United Kingdom,2018,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)",52131.6948248133
