country_code,country_name,year,indicator_code,indicator_label,value
BGD,Bangladesh,1960,SP.DYN.TFRT.IN,Total fertility rate (births per woman),6.742
BGD,Bangladesh,1961,SP.DYN.TFRT.IN,Total fertility rate (births per woman),6.78
BGD,Bangladesh,1962,SP.DYN.TFRT.IN,Total fertility rate (births per woman),6.806
BGD,Bangladesh,1963,SP.DYN.TFRT.IN,Total fertility rate (births per woman),6.798
BGD,Bangladesh,1964,SP.DYN.TFRT.IN,Total fertility rate (births per woman),6.785
BGD,Bangladesh,1965,SP.DYN.TFRT.IN,Total fertility rate (births per woman),6.771
BGD,Bangladesh,1966,SP.DYN.TFRT.IN,Total fertility rate (births per woman),6.766
BGD,Bangladesh,1967,SP.DYN.TFRT.IN,Total fertility rate (births per woman),6.79
BGD,Bangladesh,1968,SP.DYN.TFRT.IN,Total fertility rate (births per woman),6.791
BGD,Bangladesh,1969,SP.DYN.TFRT.IN,Total fertility rate (births per woman),6.806
BGD,Bangladesh,1970,SP.DYN.TFRT.IN,Total fertility rate (births per woman),6.839
BGD,Bangladesh,1971,SP.DYN.TFRT.IN,Total fertility rate (births per woman),6.831
BGD,Bangladesh,1972,SP.DYN.TFRT.IN,Total fertility rate (births per woman),6.816
BGD,Bangladesh,1973,SP.DYN.TFRT.IN,Total fertility rate (births per woman),6.8
BGD,Bangladesh,1974,SP.DYN.TFRT.IN,Total fertility rate (births per woman),6.778
BGD,Bangladesh,1975,SP.DYN.TFRT.IN,Total fertility rate (births per woman),6.728
BGD,Bangladesh,1976,SP.DYN.TFRT.IN,Total fertility rate (births per woman),6.66
BGD,Bangladesh,1977,SP.DYN.TFRT.IN,Total fertility rate (births per woman),6.583
BGD,Bangladesh,1978,SP.DYN.TFRT.IN,Total fertility rate (births per woman),6.509
BGD,Bangladesh,1979,SP.DYN.TFRT.IN,Total fertility rate (births per woman),6.421
BGD,Bangladesh,1980,SP.DYN.TFRT.IN,Total fertility rate (births per woman),6.326
BGD,Bangladesh,1981,SP.DYN.TFRT.IN,Total fertility rate (births per woman),6.237
BGD,Bangladesh,1982,SP.DYN.TFRT.IN,Total fertility rate (births per woman),6.118
BGD,Bangladesh,1983,SP.DYN.TFRT.IN,Total fertility rate (births per woman),5.906
